House,hse_type,region,DHW filename,DHW multiplier,Dryer filename,Dryer multiplier,Stove-Other filename,Stove-Other multiplier
11GMA00004,1-SD,1-AT,DHW_200_Lpd,,Dryer-med,0.76,Stove-high,0.87
11GMA00114,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.00,Stove-med,0.85
11HTA00113,1-SD,1-AT,DHW_200_Lpd,,Dryer-med,0.93,Stove-high,1.27
11PTA00063,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,1.23,Stove-med,0.96
11PTA00209,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.61,Stove-high,1.01
2402A00488,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.59,Stove-high,1.06
2402A00592,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,0.00,Stove-med,1.17
2402A00595,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,0.91,Stove-high,0.85
2410A00046,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,0.27,Stove-high,0.86
2411A00015,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,1.26,Stove-high,1.02
2411A00133,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,0.59,Stove-high,0.85
2415A00113,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.00,Stove-med,1.24
2416A00007,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,1.01,Stove-med,1.00
2420A00085,1-SD,1-AT,DHW_200_Lpd,,Dryer-high,1.00,Stove-high,1.09
2426A00131,1-SD,1-AT,DHW_200_Lpd,,Dryer-med,0.92,Stove-med,1.10
2426A00401,1-SD,1-AT,DHW_200_Lpd,,Dryer-med,0.73,Stove-high,0.96
2426A00479,1-SD,1-AT,DHW_200_Lpd,,Dryer-med,0.91,Stove-high,0.93
2435A00104,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.35,Stove-high,0.83
2435A00241,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.62,Stove-med,0.91
2435A00323,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.35,Stove-high,0.86
2435A00617,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.44,Stove-med,1.28
2440A00241,1-SD,1-AT,DHW_200_Lpd,,Dryer-med,1.23,Stove-high,0.90
2440A00341,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.00,Stove-high,1.09
2450A00040,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.00,Stove-high,0.89
2451A00095,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.24,Stove-med,0.82
2452A00007,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.61,Stove-med,0.96
2511A00108,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.00,Stove-high,0.88
2514A00153,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,0.00,Stove-high,0.83
2515A00004,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.00,Stove-med,0.87
2802A00166,1-SD,1-AT,DHW_200_Lpd,,Dryer-low,0.38,Stove-high,0.83
2903A00035,1-SD,1-AT,DHW_300_Lpd,,Dryer-low,0.19,Stove-med,1.04
1045A00586,1-SD,2-QC,DHW_300_Lpd,,Dryer-low,0.09,Stove-med,0.81
1050A00363,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.31,Stove-med,1.16
1077A00048,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.34,Stove-med,1.09
1095A00206,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.17,Stove-med,0.84
1098A00348,1-SD,2-QC,DHW_300_Lpd,,Dryer-low,0.12,Stove-med,0.82
2G01A00011,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.21,Stove-med,0.93
2N02A00229,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.40,Stove-med,0.99
2U03A00063,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.49,Stove-med,1.16
2X03A00023,1-SD,2-QC,DHW_300_Lpd,,Dryer-low,0.82,Stove-med,1.17
2Z05A00022,1-SD,2-QC,DHW_200_Lpd,,Dryer-low,0.04,Stove-med,1.15
2Z12A00086,1-SD,2-QC,DHW_300_Lpd,,Dryer-low,0.00,Stove-med,1.04
1018A00013,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.00,Stove-med,0.83
1018A00058,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.36,Stove-med,0.82
1102A01083,1-SD,3-OT,DHW_300_Lpd,,Dryer-high,1.18,Stove-high,1.15
1102A01161,1-SD,3-OT,DHW_200_Lpd,,Dryer-med,0.78,Stove-med,1.09
1104A00372,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.00,Stove-med,0.94
1105A00493,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.73,Stove-med,0.89
1107A01088,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,1.32,Stove-med,0.90
1108A00532,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.34,Stove-high,1.01
1108A01003,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.00,Stove-low,1.24
1112A01431,1-SD,3-OT,DHW_100_Lpd,,Dryer-low,0.00,Stove-low,2.57
1112A01456,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.11,Stove-med,2.16
1112A01479,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.56,Stove-med,0.89
1112A01484,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.29,Stove-med,0.81
1114A01638,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.05,Stove-low,0.98
1115A00795,1-SD,3-OT,DHW_200_Lpd,,Dryer-med,1.03,Stove-med,1.27
1115A01335,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.12,Stove-med,0.82
1124A00035,1-SD,3-OT,DHW_200_Lpd,,Dryer-low,0.35,Stove-med,0.87
